chart_appearances,track_id,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
13,4D5Ode2OfZMxIwQyvmhUe8,Lil’ Touch, Girls' Generation-Oh!GG,0.791,0.789,11,-4.694,0,0.104,0.0114,0.0,0.301,0.669,112.11,audio_features,4D5Ode2OfZMxIwQyvmhUe8,spotify:track:4D5Ode2OfZMxIwQyvmhUe8,https://api.spotify.com/v1/tracks/4D5Ode2OfZMxIwQyvmhUe8,https://api.spotify.com/v1/audio-analysis/4D5Ode2OfZMxIwQyvmhUe8,189846,4
24,2JqnpexlO9dmvjUMCaLCLJ,Love Someone, Lukas Graham,0.55,0.415,9,-6.557,0,0.052,0.161,0.0,0.108,0.274,172.065,audio_features,2JqnpexlO9dmvjUMCaLCLJ,spotify:track:2JqnpexlO9dmvjUMCaLCLJ,https://api.spotify.com/v1/tracks/2JqnpexlO9dmvjUMCaLCLJ,https://api.spotify.com/v1/audio-analysis/2JqnpexlO9dmvjUMCaLCLJ,205463,4
20,5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa), Silk City,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,audio_features,5N4erncE7kuUccm7zEmwzk,spotify:track:5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,238173,4
177,25sgk305KZfyuqVBQIahim,Sweet but Psycho, Ava Max,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,audio_features,25sgk305KZfyuqVBQIahim,spotify:track:25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,187436,4
40,2dpaYNEQHiRxtZbfNsse99,Happier, Marshmello,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
12,1t0X40USKhp2wxia69KvUo,Cool with It, brb.,0.687,0.706,7,-8.853,1,0.0625,0.405,0.0,0.278,0.822,172.036,audio_features,1t0X40USKhp2wxia69KvUo,spotify:track:1t0X40USKhp2wxia69KvUo,https://api.spotify.com/v1/tracks/1t0X40USKhp2wxia69KvUo,https://api.spotify.com/v1/audio-analysis/1t0X40USKhp2wxia69KvUo,231628,4
17,7d6XJZjnm7iWcKwYL9z5kC,Noticed, Lil Mosey,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,audio_features,7d6XJZjnm7iWcKwYL9z5kC,spotify:track:7d6XJZjnm7iWcKwYL9z5kC,https://api.spotify.com/v1/tracks/7d6XJZjnm7iWcKwYL9z5kC,https://api.spotify.com/v1/audio-analysis/7d6XJZjnm7iWcKwYL9z5kC,165000,4
88,3EPXxR3ImUwfayaurPi3cm,Be Alright, Dean Lewis,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4
38,3ngc7rGlfeFaskU90EWl4R,You Say, Lauren Daigle,0.494,0.637,5,-6.381,1,0.0333,0.669,0.0,0.0882,0.1,147.924,audio_features,3ngc7rGlfeFaskU90EWl4R,spotify:track:3ngc7rGlfeFaskU90EWl4R,https://api.spotify.com/v1/tracks/3ngc7rGlfeFaskU90EWl4R,https://api.spotify.com/v1/audio-analysis/3ngc7rGlfeFaskU90EWl4R,274693,4
18,0rsDhujEJ73Q7I9bvEljAZ,Sunflower - Movie Version, Shannon Purser,0.694,0.0935,0,-13.712,1,0.0438,0.924,0.0,0.0958,0.551,131.182,audio_features,0rsDhujEJ73Q7I9bvEljAZ,spotify:track:0rsDhujEJ73Q7I9bvEljAZ,https://api.spotify.com/v1/tracks/0rsDhujEJ73Q7I9bvEljAZ,https://api.spotify.com/v1/audio-analysis/0rsDhujEJ73Q7I9bvEljAZ,108085,4
